municipio_codigo,municipio_nombre,poblacion_empadronada,rango_edad,sexo
7,Alcorcón,37,De 100 y más años,Mujer
8,Aldea del Fresno,71,De 0 a 4 años,Hombre
8,Aldea del Fresno,89,De 5 a 9 años,Hombre
8,Aldea del Fresno,73,De 10 a 14 años,Hombre
8,Aldea del Fresno,51,De 15 a 19 años,Hombre
8,Aldea del Fresno,65,De 20 a 24 años,Hombre
8,Aldea del Fresno,76,De 25 a 29 años,Hombre
8,Aldea del Fresno,99,De 30 a 34 años,Hombre
8,Aldea del Fresno,108,De 35 a 39 años,Hombre
8,Aldea del Fresno,145,De 40 a 44 años,Hombre
8,Aldea del Fresno,105,De 45 a 49 años,Hombre
8,Aldea del Fresno,107,De 50 a 54 años,Hombre
8,Aldea del Fresno,81,De 55 a 59 años,Hombre
8,Aldea del Fresno,80,De 60 a 64 años,Hombre
8,Aldea del Fresno,67,De 65 a 69 años,Hombre
8,Aldea del Fresno,61,De 70 a 74 años,Hombre
8,Aldea del Fresno,39,De 75 a 79 años,Hombre
8,Aldea del Fresno,28,De 80 a 84 años,Hombre
8,Aldea del Fresno,17,De 85 a 89 años,Hombre
8,Aldea del Fresno,13,De 90 a 94 años,Hombre
8,Aldea del Fresno,2,De 95 a 99 años,Hombre
8,Aldea del Fresno,0,De 100 y más años,Hombre
8,Aldea del Fresno,66,De 0 a 4 años,Mujer
8,Aldea del Fresno,71,De 5 a 9 años,Mujer
8,Aldea del Fresno,55,De 10 a 14 años,Mujer
8,Aldea del Fresno,49,De 15 a 19 años,Mujer
8,Aldea del Fresno,51,De 20 a 24 años,Mujer
8,Aldea del Fresno,77,De 25 a 29 años,Mujer
8,Aldea del Fresno,82,De 30 a 34 años,Mujer
8,Aldea del Fresno,102,De 35 a 39 años,Mujer
8,Aldea del Fresno,105,De 40 a 44 años,Mujer
8,Aldea del Fresno,91,De 45 a 49 años,Mujer
8,Aldea del Fresno,96,De 50 a 54 años,Mujer
8,Aldea del Fresno,81,De 55 a 59 años,Mujer
8,Aldea del Fresno,71,De 60 a 64 años,Mujer
8,Aldea del Fresno,67,De 65 a 69 años,Mujer
8,Aldea del Fresno,57,De 70 a 74 años,Mujer
8,Aldea del Fresno,38,De 75 a 79 años,Mujer
8,Aldea del Fresno,40,De 80 a 84 años,Mujer
8,Aldea del Fresno,23,De 85 a 89 años,Mujer
8,Aldea del Fresno,13,De 90 a 94 años,Mujer
8,Aldea del Fresno,4,De 95 a 99 años,Mujer
8,Aldea del Fresno,0,De 100 y más años,Mujer
9,Algete,478,De 0 a 4 años,Hombre
9,Algete,689,De 5 a 9 años,Hombre
9,Algete,775,De 10 a 14 años,Hombre
9,Algete,730,De 15 a 19 años,Hombre
9,Algete,632,De 20 a 24 años,Hombre
9,Algete,574,De 25 a 29 años,Hombre
9,Algete,582,De 30 a 34 años,Hombre
9,Algete,734,De 35 a 39 años,Hombre
9,Algete,899,De 40 a 44 años,Hombre
9,Algete,835,De 45 a 49 años,Hombre
9,Algete,885,De 50 a 54 años,Hombre
9,Algete,742,De 55 a 59 años,Hombre
9,Algete,513,De 60 a 64 años,Hombre
9,Algete,372,De 65 a 69 años,Hombre
9,Algete,251,De 70 a 74 años,Hombre
9,Algete,174,De 75 a 79 años,Hombre
9,Algete,151,De 80 a 84 años,Hombre
9,Algete,76,De 85 a 89 años,Hombre
9,Algete,23,De 90 a 94 años,Hombre
9,Algete,7,De 95 a 99 años,Hombre
9,Algete,0,De 100 y más años,Hombre
9,Algete,466,De 0 a 4 años,Mujer
9,Algete,641,De 5 a 9 años,Mujer
9,Algete,734,De 10 a 14 años,Mujer
9,Algete,701,De 15 a 19 años,Mujer
9,Algete,608,De 20 a 24 años,Mujer
9,Algete,492,De 25 a 29 años,Mujer
9,Algete,582,De 30 a 34 años,Mujer
9,Algete,772,De 35 a 39 años,Mujer
9,Algete,969,De 40 a 44 años,Mujer
9,Algete,899,De 45 a 49 años,Mujer
9,Algete,920,De 50 a 54 años,Mujer
9,Algete,771,De 55 a 59 años,Mujer
9,Algete,522,De 60 a 64 años,Mujer
9,Algete,372,De 65 a 69 años,Mujer
9,Algete,272,De 70 a 74 años,Mujer
9,Algete,212,De 75 a 79 años,Mujer
9,Algete,189,De 80 a 84 años,Mujer
9,Algete,99,De 85 a 89 años,Mujer
9,Algete,59,De 90 a 94 años,Mujer
9,Algete,16,De 95 a 99 años,Mujer
9,Algete,1,De 100 y más años,Mujer
10,Alpedrete,319,De 0 a 4 años,Hombre
10,Alpedrete,538,De 5 a 9 años,Hombre
