municipio_codigo;municipio_nombre;sexo;rango_edad;poblacion_empadronada
11;Ambite;Hombre;De 30 a 34 años;17
11;Ambite;Hombre;De 35 a 39 años;33
11;Ambite;Hombre;De 40 a 44 años;36
11;Ambite;Hombre;De 45 a 49 años;41
11;Ambite;Hombre;De 50 a 54 años;32
11;Ambite;Hombre;De 55 a 59 años;16
11;Ambite;Hombre;De 60 a 64 años;13
11;Ambite;Hombre;De 65 a 69 años;9
11;Ambite;Hombre;De 70 a 74 años;15
11;Ambite;Hombre;De 75 a 79 años;6
11;Ambite;Hombre;De 80 a 84 años;13
11;Ambite;Hombre;De 85 a 89 años;7
11;Ambite;Hombre;De 90 a 94 años;2
11;Ambite;Hombre;De 95 a 99 años;0
11;Ambite;Hombre;De 100 y más años;0
11;Ambite;Mujer;De 0 a 4 años;16
11;Ambite;Mujer;De 5 a 9 años;23
11;Ambite;Mujer;De 10 a 14 años;16
11;Ambite;Mujer;De 15 a 19 años;14
11;Ambite;Mujer;De 20 a 24 años;12
11;Ambite;Mujer;De 25 a 29 años;11
11;Ambite;Mujer;De 30 a 34 años;25
11;Ambite;Mujer;De 35 a 39 años;29
11;Ambite;Mujer;De 40 a 44 años;29
11;Ambite;Mujer;De 45 a 49 años;25
11;Ambite;Mujer;De 50 a 54 años;26
11;Ambite;Mujer;De 55 a 59 años;14
11;Ambite;Mujer;De 60 a 64 años;14
11;Ambite;Mujer;De 65 a 69 años;10
11;Ambite;Mujer;De 70 a 74 años;14
11;Ambite;Mujer;De 75 a 79 años;14
11;Ambite;Mujer;De 80 a 84 años;24
11;Ambite;Mujer;De 85 a 89 años;7
11;Ambite;Mujer;De 90 a 94 años;1
11;Ambite;Mujer;De 95 a 99 años;1
11;Ambite;Mujer;De 100 y más años;0
12;Anchuelo;Hombre;De 0 a 4 años;46
12;Anchuelo;Hombre;De 5 a 9 años;49
12;Anchuelo;Hombre;De 10 a 14 años;26
12;Anchuelo;Hombre;De 15 a 19 años;27
12;Anchuelo;Hombre;De 20 a 24 años;28
12;Anchuelo;Hombre;De 25 a 29 años;39
12;Anchuelo;Hombre;De 30 a 34 años;54
12;Anchuelo;Hombre;De 35 a 39 años;73
12;Anchuelo;Hombre;De 40 a 44 años;71
12;Anchuelo;Hombre;De 45 a 49 años;49
12;Anchuelo;Hombre;De 50 a 54 años;46
12;Anchuelo;Hombre;De 55 a 59 años;38
12;Anchuelo;Hombre;De 60 a 64 años;28
12;Anchuelo;Hombre;De 65 a 69 años;22
12;Anchuelo;Hombre;De 70 a 74 años;21
12;Anchuelo;Hombre;De 75 a 79 años;11
12;Anchuelo;Hombre;De 80 a 84 años;6
12;Anchuelo;Hombre;De 85 a 89 años;11
12;Anchuelo;Hombre;De 90 a 94 años;2
12;Anchuelo;Hombre;De 95 a 99 años;0
12;Anchuelo;Hombre;De 100 y más años;0
12;Anchuelo;Mujer;De 0 a 4 años;35
12;Anchuelo;Mujer;De 5 a 9 años;40
12;Anchuelo;Mujer;De 10 a 14 años;30
12;Anchuelo;Mujer;De 15 a 19 años;23
12;Anchuelo;Mujer;De 20 a 24 años;23
